Plot,X ,Y,Elevation,Calcium ,Magnesium 
1,4,0,791,0.26,0.25
3,5,1,783.6,0.5,0.44
5,3,2,784.3,2.07,1.17
7,5,2,775.7,1.34,1.02
9,7,2,769.3,5.13,15.57
16,2,4,776.9,4.5,23.12
20,6,4,766.9,0.3,1.71
23,9,4,763.8,3.48,0.82
26,3,5,773.6,2.49,6.14
31,8,5,760.8,5.69,1.4
35,2,6,768.4,3.15,1.07
39,6,6,761.1,1.6,0.63
42,1,7,762,2.31,1.76
46,5,7,755,1.62,5.26
50,2,8,748.3,1.85,1.44
52,4,8,749.8,1.56,0.67
56,1,9,744.9,2.05,5.92
58,3,9,742.2,0.55,0.14
60,5,9,736.4,4.9,0.94
64,2,10,734.9,1.49,4.22
66,4,10,731.2,2.41,6.08
70,1,11,729.7,0.89,2.5
72,3,11,725.4,1.43,0.63
77,8,11,727.9,1.53,0.69
80,3,12,717.2,2.2,2.71
83,6,12,718.7,1.38,0.3
87,2,13,712.9,0.62,1.86
89,4,13,709.6,1.03,0.59
92,7,13,712,1.05,0.84
98,6,14,703.8,3.91,14.23
99,7,14,702.6,2.27,0.53
105,7,15,693.7,3.9,10.87
108,4,16,686.4,1.24,0.33
115,5,17,678.5,2.36,0.93
118,8,17,680,1.77,0.49
121,4,18,668.1,1.74,0.66
124,7,18,669.3,10.48,3.43
127,4,19,658.7,2.68,0.51
130,7,19,661.1,3.24,2.69
131,2,20,662,5.07,0.83
133,3,20,656.8,3.97,2.84
135,6,20,656.2,3.05,2.31
137,8,20,655.3,6.23,0.92
140,4,21,646.5,3.88,2.5
142,6,21,647.7,2.62,3.14
146,3,22,644.7,1.43,0.54
149,6,22,639.5,1.11,1.33
153,4,23,633.7,4.18,4.27
156,7,23,632.2,2.55,1.08
159,5,24,628.5,3.26,1.72
161,7,24,625.4,2.86,0.64
162,3,25,628.8,5.28,2.76
164,5,25,620.3,10.9,2.85
166,7,25,618.7,2.64,0.61
168,4,26,617.5,4.34,2.6
170,6,26,610.2,4.25,1.28
171,7,26,610.8,6.65,2.11
173,5,27,607.5,13.6,2.63
176,4,28,604.4,9.62,1.29
179,7,28,599.5,7.38,1.89
182,5,29,593.8,5.37,7.08
185,3,30,598.3,68,6.56
186,4,30,591.5,6.05,4.75
188,6,30,588.6,4.6,7.87
190,3,31,587,2.28,0.72
192,5,31,581.9,5.56,0.79
194,7,31,579.7,19.77,2.68
196,5,32,575.8,30.67,5.36
197,6,32,571.8,35.8,3.85
198,7,32,573,8.05,1.39
201,6,33,566.5,9.84,3.38
202,7,33,568.1,7.2,1.73
203,4,34,567.2,32.49,4.6
205,6,34,560.5,4.66,1.06
208,7,36,550.8,14.83,4.04
