longitude,latitude,SO4,H
-72.6081,41.84,16,0.38
-85.0489,37.7047,15.67,0.26
-82.9936,37.0778,15.4,0.36
-83.5469,38.1183,19.11,0.32
-72.3444,42.3925,19.2,0.55
-71.2147,42.3839,21.14,0.41
-76.9953,39.4089,18.9,0.48
-76.1525,38.9131,18.53,0.47
-68.0147,46.8689,7.8,0.17
-70.7289,44.1075,11.77,0.26
-69.6644,45.4897,8.03,0.19
-68.2606,44.3739,15.74,0.39
-71.7033,43.9431,16.04,0.44
-74.43,39.47,16.89,0.35
-74.8547,40.315,18.77,0.4
-76.6597,42.7339,21.78,0.45
-79.3964,42.2994,28.18,0.63
-74.2208,43.9725,14.56,0.38
-75.9472,43.5261,27.23,0.52
-74.5036,41.9942,28.17,0.67
-73.8594,44.3933,14.08,0.319312
-84.7242,39.5314,23.53,0.48
-83.0661,40.3553,22.38,0.4
-83.5311,37.7928,26.04,0.58
-77.9458,40.7883,23.75,0.51
-78.7675,41.5978,28.97,0.637958
-77.9397,40.6575,21.71,0.48
-74.8203,41.3275,22.22,0.55
-78.5419,39.0397,16.48,0.39
-80.5575,37.3314,12.47,0.2
-78.4358,38.5225,13.98,0.29
-73.1633,42.8761,21.32,0.51
-72.8689,44.5283,15.55,0.36
-80.95,37.98,21.47,0.53
-79.6622,39.0897,18.26,0.44
